At. Num,Ion Charge,Ground Shells,Ground Level,Ionization Energy (eV),Uncertainty (eV)
1,0,1s,2S<1/2>,(13.598434599702),0.000000000012
2,0,1s2,1S0,24.587389011,0.000000025
2,+1,1s,2S<1/2>,(54.4177655282),0.0000000010
3,0,1s2.2s,2S<1/2>,5.391714996,0.000000022
3,+1,1s2,1S0,(75.6400970),0.0000012
3,+2,1s,2S<1/2>,(122.45435913),0.00000011
4,0,1s2.2s2,1S0,9.322699,0.000007
4,+1,1s2.2s,2S<1/2>,18.21115,0.00004
4,+2,1s2,1S0,(153.896205),0.000004
4,+3,1s,2S<1/2>,(217.71858459),0.00000010
5,0,1s2.2s2.2p,2P*<1/2>,8.298019,0.000003
5,+1,1s2.2s2,1S0,25.15483,0.00005
5,+2,1s2.2s,2S<1/2>,37.93059,0.00007
5,+3,1s2,1S0,(259.374379),0.000009
5,+4,1s,2S<1/2>,(340.2260225),0.0000006
6,0,1s2.2s2.2p2,3P0,11.2602880,0.0000011
6,+1,1s2.2s2.2p,2P*<1/2>,24.383143,0.000012
6,+2,1s2.2s2,1S0,47.88778,0.00025
6,+3,1s2.2s,2S<1/2>,64.49352,0.00019
6,+4,1s2,1S0,(392.09056),0.00004
6,+5,1s,2S<1/2>,(489.99320779),0.00000022
7,0,1s2.2s2.2p3,4S*<3/2>,14.53413,0.00004
7,+1,1s2.2s2.2p2,3P0,[29.60125],0.00009
7,+2,1s2.2s2.2p,2P*<1/2>,[47.4453],0.0025
7,+3,1s2.2s2,1S0,77.4735,0.0004
7,+4,1s2.2s,2S<1/2>,97.8901,0.0004
7,+5,1s2,1S0,(552.06741),0.00008
7,+6,1s,2S<1/2>,(667.0461377),0.0000007
8,0,1s2.2s2.2p4,3P<2>,13.618055,0.000007
8,+1,1s2.2s2.2p3,4S*<3/2>,35.12112,0.00006
8,+2,1s2.2s2.2p2,3P0,[54.93554],0.00012
8,+3,1s2.2s2.2p,2P*<1/2>,77.41350,0.00025
8,+4,1s2.2s2,1S0,113.8990,0.0005
8,+5,1s2.2s,2S<1/2>,[138.1189],0.0021
8,+6,1s2,1S0,(739.32697),0.00015
8,+7,1s,2S<1/2>,(871.4099138),0.0000012
9,0,1s2.2s2.2p5,2P*<3/2>,17.42282,0.00005
9,+1,1s2.2s2.2p4,3P<2>,34.97081,0.00012
9,+2,1s2.2s2.2p3,4S*<3/2>,[62.70798],0.00025
9,+3,1s2.2s2.2p2,3P0,[87.175],0.017
9,+4,1s2.2s2.2p,2P*<1/2>,[114.249],0.006
9,+5,1s2.2s2,1S0,157.16311,0.00025
9,+6,1s2.2s,2S<1/2>,185.1868,0.0006
9,+7,1s2,1S0,(953.8983),0.0003
9,+8,1s,2S<1/2>,(1103.1175302),0.0000019
10,0,1s2.2s2.2p6,1S0,21.564541,0.000007
10,+1,1s2.2s2.2p5,2P*<3/2>,40.96297,0.00004
10,+2,1s2.2s2.2p4,3P<2>,63.4233,0.0003
10,+3,1s2.2s2.2p3,4S*<3/2>,[97.1900],0.0025
10,+4,1s2.2s2.2p2,3P0,126.247,0.012
10,+5,1s2.2s2.2p,2P*<1/2>,157.934,0.005
